Room Id:, 621fbc49be56c320f15c01ce
Started At:, 3/2/2022, 1:51:27 PM

Participants
"colorCode","nickname","optionType","receiptCode","participantType"
"#1D9EE7","ANONYMIZED",,"2CC2915356961173526","Human"
"#8F12F5","ANONYMIZED",,"2CC1025880540342797","Human"

Messages
"time","question","qid","participantCode","message"
"3/2/2022, 1:51:38 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 5 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#1D9EE7","Hi"
"3/2/2022, 1:51:40 PM",,,"#8F12F5","hello"
"3/2/2022, 1:51:51 PM",,,"#8F12F5","hi"
"3/2/2022, 1:51:52 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 5 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#1D9EE7","What do you think about the discussion topic"
"3/2/2022, 1:51:57 PM",,,"#8F12F5","girl or boy"
"3/2/2022, 1:52:00 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 5 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#1D9EE7","Boy"
"3/2/2022, 1:52:07 PM",,,"#8F12F5","wow"
"3/2/2022, 1:52:15 PM",,,"#8F12F5","i am girl"
"3/2/2022, 1:52:23 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 5 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#1D9EE7","OK"
"3/2/2022, 1:52:40 PM",,,"#8F12F5","where are you "
"3/2/2022, 1:52:43 PM",,,"#8F12F5","living"
"3/2/2022, 1:52:47 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 5 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#1D9EE7","US"
"3/2/2022, 1:52:52 PM",,,"#8F12F5","state"
"3/2/2022, 1:52:58 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 5 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#1D9EE7","Idaho"
"3/2/2022, 1:53:16 PM",,,"#8F12F5","city"
"3/2/2022, 1:53:31 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 5 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#1D9EE7","Lewston"
"3/2/2022, 1:53:38 PM",,,"#8F12F5","ok"
